KeyCode=()+-.:<=>[]_`aeijklmnopstuw{}~
Length=15
[Data]
kijetesantakalu 󱦀
misikeke 󱦇
kokosila 󱦄
kepeken 󱤙
sitelen 󱥠
monsuta 󱥽
lanpan 󱦅
kalama 󱤕
kulupu 󱤟
pakala 󱥈
palisa 󱥊
pimeja 󱥏
sijelo 󱥛
sinpin 󱥟
soweli 󱥢
majuna 󱦢
namako 󱥸
kipisi 󱥻
jasima 󱥿
akesi 󱤁
apeja 󱦡
kiwen 󱤛
linja 󱤩
lukin 󱤮
monsi 󱤸
nanpa 󱤽
nasin 󱤿
pilin 󱥎
tenpo 󱥫
utala 󱥱
tonsi 󱥾
epiku 󱦃
alasa 󱤃
insa 󱤏
jaki 󱤐
jelo 󱤒
kala 󱤔
kama 󱤖
kasi 󱤗
kili 󱤚
kule 󱤞
kute 󱤠
lape 󱤢
laso 󱤣
lawa 󱤤
lete 󱤦
lili 󱤨
lipu 󱤪
loje 󱤫
luka 󱤭
lupa 󱤯
mama 󱤱
mani 󱤲
mije 󱤵
moku 󱤶
moli 󱤷
musi 󱤻
mute 󱤼
nasa 󱤾
nena 󱥀
nimi 󱥂
noka 󱥃
olin 󱥅
open 󱥇
pake 󱦠
pali 󱥉
pana 󱥌
pini 󱥐
pipi 󱥑
poka 󱥒
poki 󱥓
pona 󱥔
powe 󱦣
sama 󱥖
seli 󱥗
selo 󱥘
seme 󱥙
sewi 󱥚
sike 󱥜
sina 󱥞
sona 󱥡
suli 󱥣
suno 󱥤
supa 󱥥
suwi 󱥦
taso 󱥨
tawa 󱥩
telo 󱥪
toki 󱥬
tomo 󱥭
unpa 󱥯
walo 󱥲
waso 󱥴
wawa 󱥵
weka 󱥶
wile 󱥷
leko 󱥼
soko 󱦁
meso 󱦂
meli 󱤳
anpa 󱤅
ante 󱤆
awen 󱤈
esun 󱤋
ilo 󱤎
jan 󱤑
ken 󱤘
kon 󱤝
len 󱤥
lon 󱤬
mun 󱤺
ona 󱥆
pan 󱥋
sin 󱥝
tan 󱥧
uta 󱥰
wan 󱥳
kin 󱥹
oko 󱥺
ike 󱤍
ala 󱤂
ale 󱤄
anu 󱤇
ijo 󱤌
jo 󱤓
ko 󱤜
la 󱤡
li 󱤧
ma 󱤰
mi 󱤴
mu 󱤹
ni 󱥁
pi 󱥍
pu 󱥕
tu 󱥮
ku 󱦈
en 󱤊
o 󱥄
n 󱦆
a 󱤀
e 󱤉
[ 󱦐
] 󱦑
= ‍
+ 󱦖
- 󱦕
( 󱦗
) 󱦘
_ 󱦙
{ 󱦚
} 󱦛
. 󱦜
`: 󱦝
`s`s 　
< 「
> 」
~~ ︁
~ ︀
